"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","6:01,3","6:01,3","1,00","6:01","5:28","129","140","40","21","380","4.75","450","5.62","175","259","50,6% L / 49,4% P","0,94","8,7","9,0","81","22,0","4:35","183","5:59","5:59","--","--"
"2","5:13,8","11:15","1,00","5:14","5:14","134","141","15","19","372","4.65","411","5.13","179","245","50,1% L / 49,9% P","1,06","9,0","8,4","75","19,0","4:17","183","5:13,8","5:14","--","--"
"3","4:39,3","15:54","1,00","4:39","4:49","133","138","0","27","383","4.78","416","5.19","178","236","49,8% L / 50,2% P","1,21","9,8","7,9","67","17,0","4:26","180","4:39","4:39","--","--"
"4","4:49,3","20:44","1,00","4:49","4:55","134","142","4","17","388","4.85","507","6.33","178","238","49,8% L / 50,2% P","1,17","9,6","8,1","69","16,0","4:32","181","4:49","4:49","--","--"
"5","4:32,5","25:16","1,00","4:32","4:44","136","141","0","25","393","4.91","432","5.39","179","231","49,9% L / 50,1% P","1,24","9,8","7,7","66","15,0","4:25","183","4:32,5","4:32","--","--"
"6","4:51,4","30:08","1,00","4:51","5:02","133","139","1","16","376","4.70","416","5.19","176","242","50,1% L / 49,9% P","1,17","9,7","8,1","67","14,0","4:37","178","4:51","4:51","--","--"
"7","5:05,8","35:13","1,00","5:06","5:01","134","140","8","9","393","4.91","452","5.64","176","248","50,3% L / 49,7% P","1,13","9,4","8,1","72","14,0","4:30","184","5:05,8","5:06","--","--"
"8","5:15,9","40:29","1,00","5:16","5:10","137","144","15","2","396","4.95","445","5.56","176","251","50,2% L / 49,8% P","1,08","9,4","8,5","74","14,0","4:54","179","5:15,9","5:16","--","--"
"9","5:09,2","45:39","1,00","5:09","5:06","135","139","3","1","385","4.81","420","5.24","176","251","50,3% L / 49,7% P","1,11","9,3","8,2","71","13,0","4:52","179","5:09","5:09","--","--"
"10","5:22,9","51:01","1,00","5:23","5:12","137","143","17","0","397","4.96","514","6.42","177","253","50,5% L / 49,5% P","1,05","9,2","8,5","76","13,0","5:15","193","5:22,9","5:23","--","--"
"11","6:00,6","57:02","1,00","6:01","5:35","134","143","30","1","381","4.76","491","6.13","174","264","50,7% L / 49,3% P","0,96","9,0","9,2","78","13,0","5:23","178","6:00","6:00","--","--"
"12","0:00,5","57:03","0,01","1:26","5:51","135","135","0","0","320","4.00","320","4.00","171","257","50,8% L / 49,3% P","1,05","9,8","9,1","0","13,0","5:43","171","0:00,5","1:26","--","--"
"Podsumowanie","57:03","57:03","11,01","5:11","5:08","134","144","132","138","386","4.82","514","6.42","177","248","50,2% L / 49,8% P","1,09","9,3","8,4","796","15,5","4:17","193","56:58","5:11","--","--"